"kernel","rep","seed","n_events","file"
"rate_state",66,3066,1858,"rate_state_066.rds"
"rate_state",67,3067,2744,"rate_state_067.rds"
"rate_state",68,3068,1247,"rate_state_068.rds"
"rate_state",69,3069,1275,"rate_state_069.rds"
"rate_state",70,3070,2005,"rate_state_070.rds"
"rate_state",71,3071,2178,"rate_state_071.rds"
"rate_state",72,3072,2036,"rate_state_072.rds"
"rate_state",73,3073,2257,"rate_state_073.rds"
"rate_state",74,3074,1510,"rate_state_074.rds"
"rate_state",75,3075,3098,"rate_state_075.rds"
"rate_state",76,3076,3856,"rate_state_076.rds"
"rate_state",77,3077,1982,"rate_state_077.rds"
"rate_state",78,3078,6334,"rate_state_078.rds"
"rate_state",79,3079,2156,"rate_state_079.rds"
"rate_state",80,3080,2707,"rate_state_080.rds"
"rate_state",81,3081,2031,"rate_state_081.rds"
"rate_state",82,3082,2153,"rate_state_082.rds"
"rate_state",83,3083,1527,"rate_state_083.rds"
"rate_state",84,3084,1317,"rate_state_084.rds"
"rate_state",85,3085,1419,"rate_state_085.rds"
"rate_state",86,3086,3688,"rate_state_086.rds"
"rate_state",87,3087,1580,"rate_state_087.rds"
"rate_state",88,3088,1606,"rate_state_088.rds"
"rate_state",89,3089,1477,"rate_state_089.rds"
"rate_state",90,3090,2625,"rate_state_090.rds"
"rate_state",91,3091,1433,"rate_state_091.rds"
"rate_state",92,3092,1576,"rate_state_092.rds"
"rate_state",93,3093,1809,"rate_state_093.rds"
"rate_state",94,3094,2998,"rate_state_094.rds"
"rate_state",95,3095,1788,"rate_state_095.rds"
"rate_state",96,3096,2625,"rate_state_096.rds"
"rate_state",97,3097,3934,"rate_state_097.rds"
"rate_state",98,3098,2995,"rate_state_098.rds"
"rate_state",99,3099,2458,"rate_state_099.rds"
"rate_state",100,3100,3863,"rate_state_100.rds"
