"truth_kernel","rep","parameter","truth","mean","q025","median","q975","error","squared_error","ci_width","covered"
"ou",21,"alpha",1.89,1.89234302709863,1.86426289525428,1.89228354594521,1.92058510567863,0.00228354594520774,5.21458208387473e-06,0.0563222104243524,TRUE
"ou",21,"c",0.03,0.0365949331616041,0.0292589976955633,0.0364107872103812,0.0449328419245132,0.00641078721038119,4.1098192656787e-05,0.0156738442289499,TRUE
"ou",21,"p",1.17,1.18242480726528,1.16219262205506,1.18221635940355,1.20371607517391,0.0122163594035469,0.000149239437076629,0.0415234531188524,TRUE
"ou",22,"mu",0.074,0.076388167721532,0.0677763080222911,0.0762702979423875,0.0856168250052471,0.00227029794238748,5.15425274720882e-06,0.017840516982956,TRUE
"ou",22,"K",0.524180588111021,0.367620360570335,0.302196919997562,0.365827073635404,0.442846836674689,-0.158353514475618,0.0250758355467796,0.140649916677127,FALSE
"ou",22,"alpha",1.89,1.93970165067779,1.91167951610893,1.93964334877332,1.96787938327332,0.0496433487733206,0.00246446207742955,0.0561998671643926,FALSE
"ou",22,"c",0.03,0.0407575732704204,0.0321358338300215,0.0405298497694949,0.050621167293415,0.0105298497694949,0.000110877736168131,0.0184853334633934,FALSE
"ou",22,"p",1.17,1.19601487092695,1.17348416555571,1.19578126062786,1.21973335999846,0.0257812606278582,0.000664673399561553,0.0462491944427448,FALSE
"ou",23,"mu",0.074,0.0706226213247631,0.0623536793924055,0.0705045548221153,0.0795116379908025,-0.00349544517788468,1.22181369915973e-05,0.017157958598397,TRUE
"ou",23,"K",0.524180588111021,0.491472627438657,0.38819218329269,0.488053188129161,0.613587024325788,-0.0361273999818608,0.00130518902944935,0.225394841033098,TRUE
"ou",23,"alpha",1.89,1.91045764790387,1.8786042901578,1.91038502379285,1.94252403504705,0.0203850237928538,0.000415549195035215,0.0639197448892523,TRUE
"ou",23,"c",0.03,0.0306027705911868,0.0227858830610352,0.030340792716411,0.0398616733157974,0.000340792716410975,1.16139675558771e-07,0.0170757902547623,TRUE
"ou",23,"p",1.17,1.1595438113615,1.13599998140195,1.15920602529225,1.18486158967071,-0.0107939747077461,0.000116509889991463,0.0488616082687614,TRUE
"ou",24,"mu",0.074,0.0776469672370825,0.0689577044486768,0.0775290213609178,0.0869529738774111,0.00352902136091784,1.24539917658144e-05,0.0179952694287343,TRUE
"ou",24,"K",0.524180588111021,0.566656666279272,0.466800087638667,0.563949493570063,0.681304941823161,0.0397689054590419,0.00158156584141021,0.214504854184494,TRUE
"ou",24,"alpha",1.89,1.87744926302852,1.84989049279148,1.8773912516713,1.90516489277791,-0.0126087483286974,0.00015898053441643,0.0552743999864278,TRUE
"ou",24,"c",0.03,0.0305106402605247,0.0239724749920201,0.0303314047844082,0.0380278972739041,0.00033140478440823,1.09829131128665e-07,0.014055422281884,TRUE
"ou",24,"p",1.17,1.18475690402811,1.16288111043585,1.18451777766449,1.20785597707443,0.01451777766449,0.000210765868315566,0.0449748666385736,TRUE
"ou",25,"mu",0.074,0.0618690438132667,0.0541541012133668,0.0617508046868758,0.0702085300223713,-0.0122491953131242,0.000150042785819064,0.0160544288090045,FALSE
"ou",25,"K",0.524180588111021,0.41122060487392,0.339550495657019,0.409301344630321,0.493371644211172,-0.1148792434807,0.013197240582698,0.153821148554152,FALSE
"ou",25,"alpha",1.89,1.94482078994799,1.9200696932733,1.94477306572373,1.96968784652773,0.0547730657237309,0.00300008872877614,0.0496181532544377,FALSE
"ou",25,"c",0.03,0.0289764414489035,0.0228704609377377,0.028811588158129,0.0359823837366379,-0.00118841184187102,1.41232270589927e-06,0.0131119227989002,TRUE
"ou",25,"p",1.17,1.13729888322308,1.11954209720347,1.13706632031548,1.15626750200145,-0.032933679684519,0.0010846272575625,0.0367254047979833,FALSE
"ou",26,"mu",0.074,0.0655847055864053,0.0576258811759839,0.0654664149409197,0.074166831996652,-0.00853358505908032,7.28220739605589e-05,0.0165409508206681,TRUE
"ou",26,"K",0.524180588111021,0.601538874178907,0.490686127446957,0.598379115836724,0.729693371756091,0.0741985277257028,0.00550542151666189,0.239007244309134,TRUE
"ou",26,"alpha",1.89,1.85265415277321,1.82397521129303,1.8525916942562,1.88150822368981,-0.0374083057438015,0.00139938133862173,0.0575330123967805,FALSE
"ou",26,"c",0.03,0.029745680817994,0.0230806895728753,0.0295531822675306,0.0374644679903265,-0.000446817732469386,1.99646086049084e-07,0.0143837784174511,TRUE
"ou",26,"p",1.17,1.1687504795007,1.14779793238969,1.16850248278342,1.19098256922831,-0.00149751721658276,2.24255781396176e-06,0.0431846368386246,TRUE
