"truth_kernel","fitted_kernel","rep","catalogue_seed","fit_seed","n_fit","runtime_minutes","fit_status","converged","hit_max","inla_failure","nan_inf_logl","vb_aborted","n_iter","min_sd","degenerate","status","error","file"
"ou","rate_state",80,1080,1000240,1726,1.99158509969711,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,31,0.008758664574674,FALSE,"fitted",NA,"rep_0080_fit_rate_state.rds"
"ou","ou",81,1081,1000241,3065,2.97564163208008,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,28,0.00676208332948121,FALSE,"fitted",NA,"rep_0081_fit_ou.rds"
"ou","mse",81,1081,1000242,3065,6.52753539880117,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,48,0.00679227187749423,FALSE,"fitted",NA,"rep_0081_fit_mse.rds"
"ou","rate_state",81,1081,1000243,3065,4.1590816338857,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,35,0.006927595446618,FALSE,"fitted",NA,"rep_0081_fit_rate_state.rds"
"ou","ou",82,1082,1000244,3051,2.96768989960353,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,29,0.00656018548477077,FALSE,"fitted",NA,"rep_0082_fit_ou.rds"
"ou","mse",82,1082,1000245,3051,5.16546334822973,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,39,0.00656609064257598,FALSE,"fitted",NA,"rep_0082_fit_mse.rds"
"ou","rate_state",82,1082,1000246,3051,9.17793116569519,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,78,0.0066508381023165,FALSE,"fitted",NA,"rep_0082_fit_rate_state.rds"
"ou","ou",83,1083,1000247,1352,0.896258282661438,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,18,0.00937844020625746,FALSE,"fitted",NA,"rep_0083_fit_ou.rds"
"ou","mse",83,1083,1000248,1352,1.59898924827576,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,29,0.00939993753543161,FALSE,"fitted",NA,"rep_0083_fit_mse.rds"
"ou","rate_state",83,1083,1000249,1352,0.926367648442586,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,18,0.0094837742190154,FALSE,"fitted",NA,"rep_0083_fit_rate_state.rds"
"ou","ou",84,1084,1000250,3813,4.12914759715398,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,33,0.00606394693669736,FALSE,"fitted",NA,"rep_0084_fit_ou.rds"
"ou","mse",84,1084,1000251,3813,6.93208693265915,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,41,0.00608609520426793,FALSE,"fitted",NA,"rep_0084_fit_mse.rds"
"ou","rate_state",84,1084,1000252,3813,6.06229889790217,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,40,0.00621169869006696,FALSE,"fitted",NA,"rep_0084_fit_rate_state.rds"
"ou","ou",85,1085,1000253,2774,2.44036370118459,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,27,0.00688213023277987,FALSE,"fitted",NA,"rep_0085_fit_ou.rds"
"ou","mse",85,1085,1000254,2774,3.79789931774139,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,33,0.00689856771095276,FALSE,"fitted",NA,"rep_0085_fit_mse.rds"
"ou","rate_state",85,1085,1000255,2774,2.4123775323232,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,24,0.00701832846017778,FALSE,"fitted",NA,"rep_0085_fit_rate_state.rds"
"ou","ou",86,1086,1000256,3030,3.08054266373316,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,31,0.0065498659764205,FALSE,"fitted",NA,"rep_0086_fit_ou.rds"
"ou","mse",86,1086,1000257,3030,5.51753428379695,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,44,0.00656496516051411,FALSE,"fitted",NA,"rep_0086_fit_mse.rds"
"ou","rate_state",86,1086,1000258,3030,4.56046353181203,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,41,0.00670439869591125,FALSE,"fitted",NA,"rep_0086_fit_rate_state.rds"
"ou","ou",87,1087,1000259,5757,8.06778981685638,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,35,0.00490818215866376,FALSE,"fitted",NA,"rep_0087_fit_ou.rds"
"ou","mse",87,1087,1000260,5757,11.9369277000427,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,38,0.00491051339568975,FALSE,"fitted",NA,"rep_0087_fit_mse.rds"
"ou","rate_state",87,1087,1000261,5757,19.8787518819173,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,71,0.00492355917866033,FALSE,"fitted",NA,"rep_0087_fit_rate_state.rds"
"ou","ou",88,1088,1000262,1783,0.83705960114797,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,20,0.00873482507570576,FALSE,"fitted",NA,"rep_0088_fit_ou.rds"
"ou","mse",88,1088,1000263,1783,1.97597451607386,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,31,0.00877321293517745,FALSE,"fitted",NA,"rep_0088_fit_mse.rds"
"ou","rate_state",88,1088,1000264,1783,1.99031628370285,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,35,0.0088934253989654,FALSE,"fitted",NA,"rep_0088_fit_rate_state.rds"
"ou","ou",89,1089,1000265,3465,3.62063033183416,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,32,0.00600683121237805,FALSE,"fitted",NA,"rep_0089_fit_ou.rds"
