"truth_kernel","rep","n_fit","converged","hit_max","inla_failure","degenerate","min_sd","B","one_minus_B","ta","tau","fit_result"
"MSE truth",21,2510,FALSE,TRUE,FALSE,TRUE,7.51328128108579e-101,0.999447221363076,0.000552778636923601,200,0.110616874029567,"Degenerate"
"MSE truth",22,2576,FALSE,TRUE,FALSE,TRUE,2.58351637096718e-09,0.999999999962569,3.74311692752372e-11,159.434707024769,5.96782750721536e-09,"Degenerate"
"MSE truth",23,2804,FALSE,TRUE,FALSE,FALSE,0.0123906782423349,0.999960794933502,3.92050664975718e-05,3.1735264009234,0.000124423191599502,"Non-converged"
"MSE truth",24,3935,FALSE,TRUE,FALSE,FALSE,0.00786393998173989,0.999747037893328,0.000252962106671584,39.0376115494558,0.00987753509906467,"Non-converged"
"MSE truth",25,2331,FALSE,TRUE,FALSE,FALSE,0.00850179408687222,0.999688294438178,0.000311705561822029,148.285367589078,0.0462357857659182,"Non-converged"
"MSE truth",26,2517,FALSE,TRUE,FALSE,FALSE,0.00862905610630672,0.999447221363076,0.000552778636923601,16.4085538578686,0.00907531467551609,"Non-converged"
"MSE truth",27,1891,FALSE,TRUE,FALSE,TRUE,8.20990708781026e-38,0.999999999962772,3.72279984617307e-11,175.329231431617,6.52715635827567e-09,"Degenerate"
"MSE truth",28,1598,FALSE,FALSE,TRUE,FALSE,0.0091188332796841,0.999614599799732,0.000385400200268116,30.0059208012415,0.0115687464832392,"Non-converged"
"MSE truth",29,4845,FALSE,TRUE,FALSE,FALSE,0.00706667583899497,0.999998108878163,1.89112183679452e-06,56.5853802971628,0.00010701005069233,"Non-converged"
"MSE truth",30,3848,FALSE,TRUE,FALSE,FALSE,0.010872880171119,0.999745219289398,0.000254780710602365,9.67091811302968,0.00246459131934267,"Non-converged"
"MSE truth",31,1655,FALSE,TRUE,FALSE,TRUE,3.80451715660719e-53,0.999999999963554,3.64459573631848e-11,179.17232860643,6.53010704929048e-09,"Degenerate"
"MSE truth",32,3687,FALSE,TRUE,FALSE,FALSE,0.00890709850776684,0.999990498535965,9.5014640346669e-06,67.4534185016851,0.000640912319514449,"Non-converged"
"MSE truth",33,3295,FALSE,TRUE,FALSE,FALSE,0.00765232412735371,0.999941790894943,5.82091050568279e-05,81.6758529014877,0.00475455506054374,"Non-converged"
"MSE truth",34,1981,FALSE,TRUE,FALSE,TRUE,6.05297684965423e-114,0.999447221363076,0.000552778636923601,200,0.110616874029567,"Degenerate"
"MSE truth",35,2650,FALSE,TRUE,FALSE,FALSE,0.00763570070762594,0.99999777327731,2.22672269001301e-06,59.9855832288072,0.000133571556676065,"Non-converged"
"MSE truth",36,2373,FALSE,TRUE,FALSE,FALSE,0.00824175799389325,0.999811219051039,0.000188780948960576,42.8591260409321,0.00809251419813791,"Non-converged"
"MSE truth",37,1992,FALSE,TRUE,FALSE,FALSE,1.44716131899453e-06,0.999448747124644,0.000551252875356179,185.719070356378,0.102434638931677,"Non-converged"
"MSE truth",38,4532,FALSE,TRUE,FALSE,FALSE,0.00762347189432707,0.999447221363076,0.000552778636923601,199.926640355887,0.110576299957008,"Non-converged"
"MSE truth",39,5183,FALSE,TRUE,FALSE,FALSE,0.0108150086844384,0.999514893178343,0.000485106821656811,1.23710040222171,0.000600417110628343,"Non-converged"
"MSE truth",40,2182,FALSE,TRUE,FALSE,FALSE,0.00930930861221627,0.999919745194382,8.02548056180186e-05,70.2733542518898,0.00564022704093638,"Non-converged"
"MSE truth",41,2456,FALSE,TRUE,FALSE,FALSE,0.00836888784290635,0.999878099678275,0.000121900321724544,56.3504997438197,0.00686998150106568,"Non-converged"
"MSE truth",42,1806,FALSE,TRUE,FALSE,FALSE,0.00892936129143437,0.999939691125892,6.03088741083502e-05,118.312226469921,0.00713570751813949,"Non-converged"
"MSE truth",43,2919,FALSE,TRUE,FALSE,FALSE,0.00731821587826583,0.999787561155332,0.000212438844668372,42.1166918782513,0.00894912250511531,"Non-converged"
"MSE truth",44,2220,FALSE,TRUE,FALSE,FALSE,0.00904264393768325,0.999997083772712,2.9162272875416e-06,62.1969199193779,0.000181380884017813,"Non-converged"
"MSE truth",45,1522,FALSE,TRUE,FALSE,FALSE,0.0105437455838686,0.999974628319124,2.53716808756854e-05,208.813899055636,0.00529809403079819,"Non-converged"
"MSE truth",46,5358,FALSE,TRUE,FALSE,FALSE,0.00527794110489828,0.999769798362938,0.000230201637061667,131.866233779575,0.0303628124583482,"Non-converged"
"MSE truth",47,1769,FALSE,TRUE,FALSE,FALSE,0.0093461231050563,0.999931357501282,6.86424987177414e-05,121.213074685019,0.00832093949371845,"Non-converged"
"MSE truth",48,1765,FALSE,TRUE,FALSE,TRUE,4.55256922325411e-111,0.999447221363076,0.000552778636923601,200,0.110616874029567,"Degenerate"
"MSE truth",49,4646,FALSE,TRUE,FALSE,TRUE,3.93609006223114e-71,0.999999999962234,3.77655684502542e-11,182.265060981308,6.88334363683929e-09,"Degenerate"
"MSE truth",50,2412,FALSE,TRUE,FALSE,TRUE,3.14515617566737e-73,0.999999999961797,3.82025522327467e-11,182.582642680143,6.97512294404757e-09,"Degenerate"
"MSE truth",51,5966,FALSE,TRUE,FALSE,FALSE,0.0076261387830569,0.998067084822905,0.00193291517709471,0.745087278639018,0.00144297966643905,"Non-converged"
"MSE truth",52,4524,FALSE,TRUE,FALSE,FALSE,0.0102067564067953,0.999982063788612,1.79362113875703e-05,25.2736571759852,0.000453321788520879,"Non-converged"
"MSE truth",53,2368,FALSE,TRUE,FALSE,TRUE,1.62152061490639e-78,0.99999999996222,3.77804454387842e-11,183.27676839982,6.92427794898768e-09,"Degenerate"
"MSE truth",54,2320,FALSE,TRUE,FALSE,FALSE,0.00823633848836684,0.999850420324611,0.000149579675388867,57.3610205781822,0.00858132643008042,"Non-converged"
"MSE truth",55,2116,FALSE,TRUE,FALSE,TRUE,1.05280286806569e-80,0.999447221363076,0.000552778636923601,200,0.110616874029567,"Degenerate"
"MSE truth",56,1943,FALSE,TRUE,FALSE,TRUE,2.79412979082299e-45,0.999447221363076,0.000552778636923601,200,0.110616874029567,"Degenerate"
"MSE truth",57,1674,FALSE,TRUE,FALSE,FALSE,0.0095986376101878,0.999658424624443,0.000341575375556902,152.032394156962,0.0519482663795774,"Non-converged"
"MSE truth",58,3162,FALSE,TRUE,FALSE,FALSE,0.011417471959201,0.999765454314124,0.000234545685875553,10.9409951805367,0.00256676524249439,"Non-converged"
"MSE truth",59,2130,FALSE,FALSE,TRUE,FALSE,0.00823714729629599,0.999599670749778,0.000400329250221709,31.7201778915415,0.0127036006551454,"Non-converged"
"MSE truth",60,1741,FALSE,TRUE,FALSE,TRUE,1.96470551581761e-85,0.999999999960546,3.94537735814993e-11,184.119271238592,7.26420003972465e-09,"Degenerate"
"MSE truth",61,1932,FALSE,TRUE,FALSE,FALSE,0.00875574304836022,0.999832689783911,0.000167310216088623,62.6359611688857,0.0104813898416842,"Non-converged"
