"truth_kernel","fitted_kernel","rep","catalogue_seed","fit_seed","n_fit","runtime_minutes","fit_status","converged","hit_max","inla_failure","nan_inf_logl","vb_aborted","n_iter","min_sd","degenerate","status","error","file"
"mse","rate_state",67,2067,1000501,2419,8.07080818414688,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.0104876220381702,FALSE,"fitted",NA,"rep_0067_fit_rate_state.rds"
"mse","rate_state",68,2068,1000504,2273,7.94633074998856,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.011685887078964,FALSE,"fitted",NA,"rep_0068_fit_rate_state.rds"
"mse","rate_state",69,2069,1000507,3969,16.4802415172259,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.010092242860099,FALSE,"fitted",NA,"rep_0069_fit_rate_state.rds"
"mse","rate_state",70,2070,1000510,2359,7.57362349828084,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.0225080581272895,FALSE,"fitted",NA,"rep_0070_fit_rate_state.rds"
"mse","rate_state",71,2071,1000513,3055,10.8011954983075,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00719927777676416,FALSE,"fitted",NA,"rep_0071_fit_rate_state.rds"
"mse","rate_state",72,2072,1000516,1593,5.82306888500849,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.0100187178429478,FALSE,"fitted",NA,"rep_0072_fit_rate_state.rds"
"mse","rate_state",73,2073,1000519,2659,9.62883900006612,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,6.04709436371959e-54,TRUE,"fitted",NA,"rep_0073_fit_rate_state.rds"
"mse","rate_state",74,2074,1000522,2079,6.33895711898804,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00887297042871233,FALSE,"fitted",NA,"rep_0074_fit_rate_state.rds"
"mse","rate_state",75,2075,1000525,2728,8.68632084925969,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00840159696898594,FALSE,"fitted",NA,"rep_0075_fit_rate_state.rds"
"mse","rate_state",76,2076,1000528,2192,6.84300638437271,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00849236820197482,FALSE,"fitted",NA,"rep_0076_fit_rate_state.rds"
"mse","rate_state",77,2077,1000531,2563,8.15223251581192,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00794967468428474,FALSE,"fitted",NA,"rep_0077_fit_rate_state.rds"
"mse","rate_state",78,2078,1000534,2206,6.62838086684545,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.0090990174818847,FALSE,"fitted",NA,"rep_0078_fit_rate_state.rds"
"mse","rate_state",79,2079,1000537,1709,5.37517284949621,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,3.7526401487256e-57,TRUE,"fitted",NA,"rep_0079_fit_rate_state.rds"
"mse","rate_state",80,2080,1000540,6416,28.418832218647,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00993859250132188,FALSE,"fitted",NA,"rep_0080_fit_rate_state.rds"
"mse","rate_state",81,2081,1000543,1765,5.57039810021718,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00913129745323145,FALSE,"fitted",NA,"rep_0081_fit_rate_state.rds"
"mse","rate_state",82,2082,1000546,5557,22.8846075137456,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00680383869139711,FALSE,"fitted",NA,"rep_0082_fit_rate_state.rds"
"mse","rate_state",83,2083,1000549,2496,8.44831215143204,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.012479481883562,FALSE,"fitted",NA,"rep_0083_fit_rate_state.rds"
"mse","rate_state",84,2084,1000552,2421,8.04443095127741,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,8.00090097521274e-65,TRUE,"fitted",NA,"rep_0084_fit_rate_state.rds"
"mse","rate_state",85,2085,1000555,2408,7.87932879924774,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,2.3517771894686e-07,TRUE,"fitted",NA,"rep_0085_fit_rate_state.rds"
"mse","rate_state",86,2086,1000558,3130,11.596532468001,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.011920497385285,FALSE,"fitted",NA,"rep_0086_fit_rate_state.rds"
"mse","rate_state",87,2087,1000561,3185,11.2778301318487,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.0114509975334354,FALSE,"fitted",NA,"rep_0087_fit_rate_state.rds"
"mse","rate_state",88,2088,1000564,1583,5.04507596492767,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00917218113010753,FALSE,"fitted",NA,"rep_0088_fit_rate_state.rds"
"mse","rate_state",89,2089,1000567,3792,13.140240351359,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00693673799637058,FALSE,"fitted",NA,"rep_0089_fit_rate_state.rds"
"mse","rate_state",90,2090,1000570,2700,8.19799218177795,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00920914299754618,FALSE,"fitted",NA,"rep_0090_fit_rate_state.rds"
"mse","rate_state",91,2091,1000573,5316,19.8507682998975,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,9.20509099176236e-101,TRUE,"fitted",NA,"rep_0091_fit_rate_state.rds"
"mse","rate_state",92,2092,1000576,6695,31.1340722163518,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00982452667754254,FALSE,"fitted",NA,"rep_0092_fit_rate_state.rds"
