"truth_form","rep","n_fit","fit_status","converged","hit_max","inla_failure","nan_inf_logl","vb_aborted","degenerate","usable","min_sd","B","one_minus_B","ta","fit_result"
"OU truth",100,2018,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00738789183606471,0.99989690940193,0.000103090598070454,113.248863079599,"Usable"
"MSE truth",1,2379,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2.54997462293935e-40,0.999999999963587,3.6412650672446e-11,176.017568605673,"Degenerate"
"MSE truth",2,2530,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00754765131865016,0.999782181620652,0.000217818379347645,34.2731736414236,"Non-usable"
"MSE truth",3,2382,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0086165036962687,0.999691163798576,0.000308836201423635,148.358345039796,"Non-usable"
"MSE truth",4,2027,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00888372870020768,0.999607946157508,0.00039205384249219,156.599927288735,"Non-usable"
"MSE truth",5,11660,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00371849392257364,0.999695658469376,0.000304341530624419,27.014100574472,"Non-usable"
"MSE truth",6,4142,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3.55446808233749e-74,0.999999999961927,3.80726561388656e-11,182.694332597575,"Degenerate"
"MSE truth",7,2010,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4.98522805859727e-49,0.999447221363076,0.000552778636923601,200,"Degenerate"
"MSE truth",8,5127,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00865385822312896,0.999984185691469,1.58143085310369e-05,8.12021189087015,"Non-usable"
"MSE truth",9,1818,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00911305952937138,0.999954571553796,4.54284462042542e-05,116.72476192396,"Non-usable"
"MSE truth",10,2370,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3.13118982980134e-14,0.999999990425823,9.57417667368787e-09,172.815865485346,"Degenerate"
"MSE truth",11,3018,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0115102622744954,0.999564637870519,0.00043536212948081,9.86117780655088,"Non-usable"
"MSE truth",12,2058,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0078263709421651,0.999702954772621,0.000297045227379167,37.3062412108294,"Non-usable"
"MSE truth",13,3357,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00777059707366885,0.999945881746949,5.41182530505724e-05,173.670119447561,"Non-usable"
