"truth_kernel","fitted_kernel","rep","posterior_mean_tv","posterior_q025_tv","posterior_q10_tv","posterior_median_tv","posterior_q90_tv","posterior_q975_tv","posterior_iqr_tv"
"mse","mse",75,0.0169743178150215,0.00512412850337223,0.00864802051656685,0.0161139337114937,0.0264585164879596,0.0327219975264341,0.00898875730458859
"mse","mse",76,0.0305204234886286,0.0127531647849465,0.0178078812230261,0.0304094451600762,0.0429377621719891,0.0500690732708573,0.0135596718602894
"mse","mse",77,0.0163137627474788,0.00440618427005736,0.00709510416573949,0.0153324539840162,0.0263263548590975,0.0338720808461818,0.0102416117803245
"mse","mse",78,0.0263470456297636,0.00983746120441434,0.0147009030202697,0.0259327145081901,0.0390992462454034,0.0472116002828125,0.0130456295555173
"mse","mse",79,0.0229398426410511,0.00554771556039409,0.00954616681074372,0.0221210500098711,0.0375168827933743,0.0447751107192387,0.0150124722920752
"mse","mse",80,0.025471614416664,0.0151631672382724,0.0183630593862852,0.0255679454435359,0.0325801324826472,0.0365386637233776,0.00754340563015166
"mse","mse",81,0.0342050161877545,0.0131407277177283,0.0200636982481826,0.0337602381644387,0.0488984851196661,0.0579337029211152,0.014762560278503
"mse","mse",82,0.013901512926093,0.00429704764394334,0.00683477014436565,0.01374746361647,0.0209517391868709,0.0246318203406371,0.00778190476562373
"mse","mse",83,0.0217795166273388,0.00725218428427644,0.0114491587253349,0.0214596328449171,0.0324234883781409,0.0387368899364374,0.0112116731867222
"mse","mse",84,0.0230699411931804,0.0111582979208521,0.0142865988602478,0.0220672838985487,0.0329646024978687,0.039592253114513,0.00943760692191027
"mse","mse",85,0.0272320623941024,0.0105482152881494,0.0160825543135757,0.0276872524804787,0.0376031718791776,0.0421244375992954,0.0122369010969355
"mse","mse",86,0.0249955011995601,0.0109490855280447,0.0147628048389906,0.0246746876889454,0.0354188255590539,0.0429368166009517,0.0108282837655403
"mse","mse",87,0.0147189099238051,0.00409607501923408,0.00674523841757107,0.0139900330801881,0.0234504424158432,0.0280628035981357,0.00883412562748613
"mse","mse",88,0.0234409219567871,0.00786755188247128,0.0120644669630431,0.0220314437826035,0.0364055317397502,0.0466547542426304,0.0121646515271403
"mse","mse",89,0.0236227074689617,0.0110075921999201,0.0151346412736188,0.023623064410408,0.0321519741338857,0.0367558187248262,0.00967077876146443
