"truth_kernel","fitted_kernel","rep","tv_wrong","tv_correct","delta_tv"
"ou","rate_state",7,0.126281558143792,0.0041398440121279,0.122141714131664
"ou","rate_state",8,0.129621445501416,0.022219863575777,0.107401581925639
"ou","rate_state",9,0.126192690326315,0.00945014646279422,0.116742543863521
"ou","rate_state",10,0.126439663570556,0.0145046528333603,0.111935010737196
"ou","rate_state",11,0.126722146504443,0.0155277649412478,0.111194381563195
"ou","rate_state",12,0.126288502582257,0.0121424440818268,0.11414605850043
"ou","rate_state",13,0.126082149592007,0.00819263053756134,0.117889519054445
"ou","rate_state",14,0.126727606255715,0.00721266279383087,0.119514943461885
"ou","rate_state",15,0.126684089591227,0.0207743217913895,0.105909767799837
"ou","rate_state",16,0.129242312496228,0.0253696385911651,0.103872673905063
"ou","rate_state",17,0.126873110146388,0.0420887218346375,0.0847843883117501
"ou","rate_state",18,0.127066854893678,0.00899795448969973,0.118068900403978
"ou","rate_state",19,0.126307299577342,0.00826078342334002,0.118046516154002
"ou","rate_state",20,0.126703618755014,0.0176976669090925,0.109005951845922
"ou","rate_state",21,0.126359827653467,0.0162147545077686,0.110145073145699
"ou","rate_state",22,0.128612649188842,0.0269133947715505,0.101699254417292
"ou","rate_state",23,0.126260792524112,0.0146708795592879,0.111589912964824
"ou","rate_state",24,0.129213775586456,0.0172409036137356,0.11197287197272
"ou","rate_state",25,0.130357637713498,0.0388317470822749,0.0915258906312235
"ou","rate_state",26,0.125857047929346,0.00144645662801821,0.124410591301328
"ou","rate_state",27,0.125892964335994,0.00291898891411932,0.122973975421874
"ou","rate_state",28,0.126383140241873,0.00296848566310068,0.123414654578772
"ou","rate_state",29,0.127035862453472,0.0123582182769299,0.114677644176542
"ou","rate_state",30,0.128220091644019,0.0236975747213503,0.104522516922669
"ou","rate_state",31,0.127100992262667,0.0121900649481412,0.114910927314525
"ou","rate_state",32,0.126285109322425,0.00995824822074984,0.116326861101675
"ou","rate_state",33,0.126775019870507,0.00400854133663903,0.122766478533868
"ou","rate_state",34,0.127450154666827,0.0251690253745316,0.102281129292295
"ou","rate_state",35,0.125735337339506,0.00896580398978403,0.116769533349722
"ou","rate_state",36,0.128338294145881,0.0339098056240457,0.094428488521835
"ou","rate_state",37,0.12744028371645,0.0340475300338588,0.0933927536825913
"ou","rate_state",38,0.126485159695784,0.0184714870483131,0.108013672647471
"ou","rate_state",39,0.125905676032801,0.0349314492321623,0.0909742268006384
"ou","rate_state",40,0.126135915950493,0.0272255533670056,0.0989103625834874
"ou","rate_state",41,0.126722070732416,0.00231811733314574,0.12440395339927
"ou","rate_state",42,0.12638139207724,0.00929195152931607,0.117089440547924
"ou","rate_state",43,0.126603189177846,0.0157447371285825,0.110858452049263
"ou","rate_state",44,0.128161683529159,0.0164463423129051,0.111715341216254
"ou","rate_state",45,0.126527955340237,0.0124869088950687,0.114041046445168
"ou","rate_state",46,0.12641777033405,0.0233643197175061,0.103053450616544
"ou","rate_state",47,0.126341490014774,0.0135879501135528,0.112753539901222
"ou","rate_state",48,0.126281669649288,0.00930307255543444,0.116978597093853
"ou","rate_state",49,0.129471719119672,0.017881276556671,0.111590442563001
"ou","rate_state",50,0.125968267088116,0.00270782233841852,0.123260444749697
"ou","rate_state",51,0.126288524318386,0.0201467302438128,0.106141794074573
"ou","rate_state",52,0.131401355046255,0.0222683433281232,0.109133011718132
"ou","rate_state",53,0.127878141097202,0.0191990360337864,0.108679105063416
"ou","rate_state",54,0.127773635734968,0.029110440818191,0.0986631949167773
"ou","rate_state",55,0.128098973031966,0.0147210622381716,0.113377910793795
"ou","rate_state",56,0.126030927919461,0.00660122161279973,0.119429706306662
"ou","rate_state",57,0.125936072112303,0.0119129681544447,0.114023103957858
"ou","rate_state",58,0.127098025643808,0.0155276176730428,0.111570407970765
"ou","rate_state",59,0.127971697542338,0.0209767918842362,0.106994905658102
"ou","rate_state",60,0.126966693569918,0.0169449245362582,0.11002176903366
"ou","rate_state",61,0.125996527820256,0.01133404763699,0.114662480183266
"ou","rate_state",62,0.129851243955699,0.0287129647540257,0.101138279201673
"ou","rate_state",63,0.125844594784489,0.0141577897210073,0.111686805063482
"ou","rate_state",64,0.126580729761128,0.0287511288174509,0.0978296009436772
"ou","rate_state",65,0.126526806682087,0.0132538908581905,0.113272915823896
"ou","rate_state",66,0.12606664298523,0.0163473264685506,0.109719316516679
"ou","rate_state",67,0.127467150560361,0.0255912713187199,0.101875879241641
"ou","rate_state",68,0.126306223798766,0.011327151371168,0.114979072427598
"ou","rate_state",69,0.126399666747406,0.0194931999772376,0.106906466770168
"ou","rate_state",70,0.127789733055503,0.0175961442052927,0.110193588850211
"ou","rate_state",71,0.127411368871837,0.017777674212567,0.10963369465927
"ou","rate_state",72,0.126923457461364,0.0114585657662519,0.115464891695112
"ou","rate_state",73,0.12907642400363,0.0256723275967491,0.103404096406881
"ou","rate_state",74,0.126495077321213,0.0145288178950744,0.111966259426138
"ou","rate_state",75,0.127691236088457,0.0293579732271941,0.0983332628612627
"ou","rate_state",76,0.125902810730397,0.0120452787457743,0.113857531984623
"ou","rate_state",77,0.127149413779174,0.0164398294535747,0.110709584325599
"ou","rate_state",78,0.126680579802174,0.0156446554352641,0.11103592436691
