"truth_kernel","fitted_kernel","rep","catalogue_seed","fit_seed","n_fit","runtime_minutes","converged","hit_max","n_iter","n_cpo_fail","status","error","file","fit_file","min_sd","degenerate"
"ou","mse",41,1041,1000122,5394,8.68257608413696,TRUE,FALSE,41,0,"existing",NA,"rep_0041_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0041_fit_mse.rds",0.00348895461492899,FALSE
"ou","rate_state",41,1041,1000123,5394,10.9280103842417,TRUE,FALSE,54,0,"existing",NA,"rep_0041_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0041_fit_rate_state.rds",0.00350660148779685,FALSE
"ou","mse",42,1042,1000125,1420,0.360373616218567,TRUE,FALSE,7,0,"existing",NA,"rep_0042_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0042_fit_mse.rds",8.53358771498104e-38,TRUE
"ou","rate_state",42,1042,1000126,1420,1.33294104735057,TRUE,FALSE,33,0,"existing",NA,"rep_0042_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0042_fit_rate_state.rds",0.00666519896627278,FALSE
"ou","mse",43,1043,1000128,1887,1.51866703033447,TRUE,FALSE,26,0,"existing",NA,"rep_0043_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0043_fit_mse.rds",0.00621229502246503,FALSE
"ou","rate_state",43,1043,1000129,1887,2.69888248443604,TRUE,FALSE,53,0,"existing",NA,"rep_0043_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0043_fit_rate_state.rds",0.00614553417827,FALSE
"ou","mse",44,1044,1000131,1971,0.41990453004837,TRUE,FALSE,6,0,"existing",NA,"rep_0044_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0044_fit_mse.rds",1.43111854931128e-33,TRUE
"ou","rate_state",44,1044,1000132,1971,0.266150983174642,TRUE,FALSE,4,1,"existing",NA,"rep_0044_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0044_fit_rate_state.rds",3.19287417914117e-23,TRUE
"ou","mse",45,1045,1000134,1943,0.465953115622203,TRUE,FALSE,7,0,"existing",NA,"rep_0045_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0045_fit_mse.rds",2.56571360180228e-37,TRUE
"ou","rate_state",45,1045,1000135,1943,5.17964566548665,FALSE,TRUE,100,1,"existing",NA,"rep_0045_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0045_fit_rate_state.rds",0.00599161683849109,FALSE
"ou","mse",46,1046,1000137,2290,1.76623836358388,TRUE,FALSE,25,0,"existing",NA,"rep_0046_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0046_fit_mse.rds",0.00558259314631881,FALSE
"ou","rate_state",46,1046,1000138,2290,3.32050363222758,TRUE,FALSE,53,0,"existing",NA,"rep_0046_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0046_fit_rate_state.rds",0.00558367506000409,FALSE
"ou","mse",47,1047,1000140,1287,0.280889948209127,TRUE,FALSE,6,0,"existing",NA,"rep_0047_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0047_fit_mse.rds",1.48282636526023e-35,TRUE
"ou","rate_state",47,1047,1000141,1287,0.35150158405304,TRUE,FALSE,8,1,"existing",NA,"rep_0047_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0047_fit_rate_state.rds",1.1472432444356e-37,TRUE
"ou","mse",48,1048,1000143,1994,0.425621382395426,TRUE,FALSE,6,0,"existing",NA,"rep_0048_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0048_fit_mse.rds",2.34310111177436e-45,TRUE
"ou","rate_state",48,1048,1000144,1994,2.78898281653722,TRUE,FALSE,52,0,"existing",NA,"rep_0048_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0048_fit_rate_state.rds",0.00582071315265996,FALSE
