"truth_kernel","fitted_kernel","rep","catalogue_seed","fit_seed","n_fit","runtime_minutes","converged","hit_max","n_iter","n_cpo_fail","status","error","file"
"ou","rate_state",35,1035,1000105,1557,0.272644682725271,TRUE,FALSE,5,1,"existing",NA,"rep_0035_fit_rate_state.rds"
"ou","ou",36,1036,1000106,1334,1.00353046655655,TRUE,FALSE,25,0,"existing",NA,"rep_0036_fit_ou.rds"
"ou","mse",36,1036,1000107,1334,0.674990916252136,TRUE,FALSE,10,0,"existing",NA,"rep_0036_fit_mse.rds"
"ou","rate_state",36,1036,1000108,1334,2.61904859940211,TRUE,FALSE,64,9,"existing",NA,"rep_0036_fit_rate_state.rds"
"ou","ou",37,1037,1000109,4689,7.1079135855039,TRUE,FALSE,44,0,"existing",NA,"rep_0037_fit_ou.rds"
"ou","mse",37,1037,1000110,4689,8.11238646507263,TRUE,FALSE,44,0,"existing",NA,"rep_0037_fit_mse.rds"
"ou","rate_state",37,1037,1000111,4689,6.41690498193105,TRUE,FALSE,43,0,"existing",NA,"rep_0037_fit_rate_state.rds"
"ou","ou",38,1038,1000112,2513,2.24401671886444,TRUE,FALSE,33,0,"existing",NA,"rep_0038_fit_ou.rds"
"ou","mse",38,1038,1000113,2513,2.52094801664352,TRUE,FALSE,33,0,"existing",NA,"rep_0038_fit_mse.rds"
"ou","rate_state",38,1038,1000114,2513,0.643481850624084,TRUE,FALSE,8,1,"existing",NA,"rep_0038_fit_rate_state.rds"
"ou","ou",39,1039,1000115,2590,2.26305651664734,TRUE,FALSE,31,0,"existing",NA,"rep_0039_fit_ou.rds"
"ou","mse",39,1039,1000116,2590,2.71360856691996,TRUE,FALSE,34,0,"existing",NA,"rep_0039_fit_mse.rds"
"ou","rate_state",39,1039,1000117,2590,0.756883283456167,TRUE,FALSE,9,1,"existing",NA,"rep_0039_fit_rate_state.rds"
"ou","ou",40,1040,1000118,3529,4.14322326580683,TRUE,FALSE,38,0,"existing",NA,"rep_0040_fit_ou.rds"
"ou","mse",40,1040,1000119,3529,4.38263814846675,TRUE,FALSE,36,0,"existing",NA,"rep_0040_fit_mse.rds"
"ou","rate_state",40,1040,1000120,3529,4.76468875010808,TRUE,FALSE,43,0,"existing",NA,"rep_0040_fit_rate_state.rds"
"ou","ou",41,1041,1000121,5394,7.83996121486028,TRUE,FALSE,42,0,"existing",NA,"rep_0041_fit_ou.rds"
"ou","mse",41,1041,1000122,5394,8.68257608413696,TRUE,FALSE,41,0,"existing",NA,"rep_0041_fit_mse.rds"
"ou","rate_state",41,1041,1000123,5394,10.9280103842417,TRUE,FALSE,54,0,"existing",NA,"rep_0041_fit_rate_state.rds"
"ou","ou",42,1042,1000124,1420,0.945501518249512,TRUE,FALSE,23,0,"existing",NA,"rep_0042_fit_ou.rds"
"ou","mse",42,1042,1000125,1420,0.360373616218567,TRUE,FALSE,7,0,"existing",NA,"rep_0042_fit_mse.rds"
"ou","rate_state",42,1042,1000126,1420,1.33294104735057,TRUE,FALSE,33,0,"existing",NA,"rep_0042_fit_rate_state.rds"
"ou","ou",43,1043,1000127,1887,1.2741959532102,TRUE,FALSE,24,0,"existing",NA,"rep_0043_fit_ou.rds"
"ou","mse",43,1043,1000128,1887,1.51866703033447,TRUE,FALSE,26,0,"existing",NA,"rep_0043_fit_mse.rds"
"ou","rate_state",43,1043,1000129,1887,2.69888248443604,TRUE,FALSE,53,0,"existing",NA,"rep_0043_fit_rate_state.rds"
"ou","ou",44,1044,1000130,1971,1.58185786803563,TRUE,FALSE,29,0,"existing",NA,"rep_0044_fit_ou.rds"
"ou","mse",44,1044,1000131,1971,0.41990453004837,TRUE,FALSE,6,0,"existing",NA,"rep_0044_fit_mse.rds"
